Designator,Mid X,Mid Y,Rotation,Layer
C238,-127.4249,-80.3656,180.0,top
C239,-127.4249,-87.6808,180.0,top
C24,-222.5225,-36.4744,180.0,top
C240,-127.4249,-94.996,180.0,top
C241,-120.1097,14.732,180.0,top
C242,-120.1097,7.4168,180.0,top
C243,-120.1097,0.1016,180.0,top
C244,-120.1097,-7.2136,180.0,top
C245,-120.1097,-14.5288,180.0,top
C246,-120.1097,-21.844,180.0,top
C247,-120.1097,-29.1592,180.0,top
C248,-120.1097,-36.4744,180.0,top
C249,-120.1097,-43.7896,180.0,top
C25,-222.5225,-43.7896,180.0,top
C250,-120.1097,-51.1048,180.0,top
C251,-120.1097,-58.42,180.0,top
C252,-120.1097,-65.7352,180.0,top
C253,-120.1097,-73.0504,180.0,top
C254,-120.1097,-80.3656,180.0,top
C255,-120.1097,-87.6808,180.0,top
C256,-120.1097,-94.996,180.0,top
C257,-105.588,-28.281,180.0,top
C258,-101.863,-50.159,270.0,top
C259,-101.863,-35.554,270.0,top
C26,-222.5225,-51.1048,180.0,top
C260,-106.623,-54.985,0.0,top
C261,-106.308,-40.507,0.0,top
C262,-105.649,-18.629,180.0,top
C27,-222.5225,-58.42,180.0,top
C28,-222.5225,-65.7352,180.0,top
C29,-222.5225,-73.0504,180.0,top
C3,-229.8377,0.1016,180.0,top
C30,-222.5225,-80.3656,180.0,top
C301,-221.742,23.609,270.0,top
C302,-207.137,23.495,270.0,top
C303,-134.112,23.482,270.0,top
C304,-217.297,34.798,180.0,top
C305,-202.578,34.925,180.0,top
C306,-188.087,34.925,180.0,top
C307,-192.532,23.495,270.0,top
C308,-163.195,23.482,270.0,top
C309,-119.38,23.609,270.0,top
C31,-222.5225,-87.6808,180.0,top
C310,-100.203,32.639,270.0,top
C311,-158.75,34.798,180.0,top
C312,-173.355,34.925,180.0,top
C313,-177.8,23.495,270.0,top
C314,-148.59,23.482,270.0,top
C315,-112.141,32.499,270.0,top
C316,-126.365,32.512,270.0,top
C317,-140.843,32.512,270.0,top
C32,-222.5225,-94.996,180.0,top
C33,-215.2073,14.732,180.0,top
C34,-215.2073,7.4168,180.0,top
C35,-215.2073,0.1016,180.0,top
C36,-215.2073,-7.2136,180.0,top
C37,-215.2073,-14.5288,180.0,top
C38,-215.2073,-21.844,180.0,top
C39,-215.2073,-29.1592,180.0,top
C4,-229.8377,-7.2136,180.0,top
C40,-215.2073,-36.4744,180.0,top
C41,-215.2073,-43.7896,180.0,top
C42,-215.2073,-51.1048,180.0,top
C43,-215.2073,-58.42,180.0,top
C44,-215.2073,-65.7352,180.0,top
C45,-215.2073,-73.0504,180.0,top
C46,-215.2073,-80.3656,180.0,top
C47,-215.2073,-87.6808,180.0,top
C48,-215.2073,-94.996,180.0,top
C49,-207.8921,14.732,180.0,top
C5,-229.8377,-14.5288,180.0,top
C50,-207.8921,7.4168,180.0,top
C51,-207.8921,0.1016,180.0,top
C52,-207.8921,-7.2136,180.0,top
C53,-207.8921,-14.5288,180.0,top
C54,-207.8921,-21.844,180.0,top
C55,-207.8921,-29.1592,180.0,top
C56,-207.8921,-36.4744,180.0,top
C57,-207.8921,-43.7896,180.0,top
C58,-207.8921,-51.1048,180.0,top
C59,-207.8921,-58.42,180.0,top
C6,-229.8377,-21.844,180.0,top
C60,-207.8921,-65.7352,180.0,top
C61,-207.8921,-73.0504,180.0,top
C62,-207.8921,-80.3656,180.0,top
C63,-207.8921,-87.6808,180.0,top
C64,-207.8921,-94.996,180.0,top
C65,-200.5769,14.732,180.0,top
C66,-200.5769,7.4168,180.0,top
C67,-200.5769,0.1016,180.0,top
C68,-200.5769,-7.2136,180.0,top
C69,-200.5769,-14.5288,180.0,top
C7,-229.8377,-29.1592,180.0,top
C70,-200.5769,-21.844,180.0,top
C71,-200.5769,-29.1592,180.0,top
C72,-200.5769,-36.4744,180.0,top
C73,-200.5769,-43.7896,180.0,top
C74,-200.5769,-51.1048,180.0,top
C75,-200.5769,-58.42,180.0,top
C76,-200.5769,-65.7352,180.0,top
C77,-200.5769,-73.0504,180.0,top
C78,-200.5769,-80.3656,180.0,top
C79,-200.5769,-87.6808,180.0,top
C8,-229.8377,-36.4744,180.0,top
C80,-200.5769,-94.996,180.0,top
C81,-193.2617,14.732,180.0,top
C82,-193.2617,7.4168,180.0,top
C83,-193.2617,0.1016,180.0,top
C84,-193.2617,-7.2136,180.0,top
C85,-193.2617,-14.5288,180.0,top
C86,-193.2617,-21.844,180.0,top
C87,-193.2617,-29.1592,180.0,top
C88,-193.2617,-36.4744,180.0,top
C89,-193.2617,-43.7896,180.0,top
C9,-229.8377,-43.7896,180.0,top
C90,-193.2617,-51.1048,180.0,top
C91,-193.2617,-58.42,180.0,top
C92,-193.2617,-65.7352,180.0,top
C93,-193.2617,-73.0504,180.0,top
C94,-193.2617,-80.3656,180.0,top
C95,-193.2617,-87.6808,180.0,top
C96,-193.2617,-94.996,180.0,top
C97,-185.9465,14.732,180.0,top
C98,-185.9465,7.4168,180.0,top
C99,-185.9465,0.1016,180.0,top
D1,-109.855,5.385,90.0,top
D2,-106.562,-57.398,180.0,top
D3,-107.696,5.385,90.0,top
D4,-106.308,-42.793,180.0,top
D5,-105.537,5.385,90.0,top
D6,-108.951,-17.613,90.0,top
D7,-103.378,5.385,90.0,top
J501,-97.72,-1.402,0.0,top
R18,-109.855,9.0445,270.0,top
R19,-109.61,-56.001,270.0,top
R20,-107.696,9.068,270.0,top
R21,-109.356,-41.4995,270.0,top
R22,-105.537,9.068,270.0,top
R23,-105.649,-16.47,180.0,top
R24,-103.378,9.0445,270.0,top
R25,-110.363,19.431,180.0,top
U1,-230.2057,12.192,180.0,top
U10,-230.2057,-53.6448,180.0,top
U100,-186.3145,-9.7536,180.0,top
U101,-186.3145,-17.0688,180.0,top
U102,-186.3145,-24.384,180.0,top
U103,-186.3145,-31.6992,180.0,top
U104,-186.3145,-39.0144,180.0,top
U105,-186.3145,-46.3296,180.0,top
U106,-186.3145,-53.6448,180.0,top
U107,-186.3145,-60.96,180.0,top
U108,-186.3145,-68.2752,180.0,top
U109,-186.3145,-75.5904,180.0,top
U11,-230.2057,-60.96,180.0,top
U110,-186.3145,-82.9056,180.0,top
U111,-186.3145,-90.2208,180.0,top
U112,-186.3145,-97.536,180.0,top
U113,-178.9993,12.192,180.0,top
U114,-178.9993,4.8768,180.0,top
U115,-178.9993,-2.4384,180.0,top
U116,-178.9993,-9.7536,180.0,top
U117,-178.9993,-17.0688,180.0,top
U118,-178.9993,-24.384,180.0,top
